posting_id,title,company,location,work_type,salary_min,salary_max,required_skills,experience_years,posted_date,uw_partnership,is_duplicate_flag,status
JOB-0060,Jr. Data Engineer,IQVIA,"Redmond, WA",Hybrid,72000,97000,Tableau; Snowflake; Spark; BigQuery,1,2024-09-10,False,False,Active
JOB-0061,BI Developer,Accenture,"Kirkland, WA",On-site,,,R; Azure; Spark,0,2024-06-01,False,True,Active
JOB-0062,Digital Marketing Analyst,Outreach,"Seattle, WA",Remote,,,Statistics; AWS; dbt; Stakeholder Management,2,2024-08-08,False,True,Active
JOB-0063,Associate Financial Analyst,McKinsey,"Bellevue, WA",Hybrid,90000,110000,Azure; Python; Data Modeling,1,2024-07-15,False,False,Active
JOB-0064,Associate Product Analyst,Expedia,"Kirkland, WA",On-site,65000,75000,Azure; BigQuery; Machine Learning,1,2024-12-18,False,True,Active
JOB-0065,Associate Data Scientist,KPMG,"Seattle, WA",Hybrid,,,Azure; Power BI; Tableau; R,2,2024-11-09,False,False,Active
JOB-0066,Data Analyst,REI,"Redmond, WA",On-site,65000,75000,Stakeholder Management; Communication; Looker,3,2023-04-16,False,False,Expired
JOB-0067,Data Engineer,Starbucks,"Bellevue, WA",Hybrid,,,BigQuery; A/B Testing; dbt; Stakeholder Management; Machine Learning; Python; Data Modeling,1,2024-07-02,False,False,Active
JOB-0068,Product Data Analyst,Amazon,"Kirkland, WA",Hybrid,55000,65000,dbt; Spark; A/B Testing; Excel,2,2024-06-17,True,False,Active
JOB-0069,Product Data Analyst,IQVIA,"Redmond, WA",Hybrid,,,Machine Learning; Communication; GCP; Statistics; Spark; Excel; Data Modeling,1,2024-07-04,False,False,Active
JOB-0070,Data Analyst,KPMG,Remote,Hybrid,,,GCP; Stakeholder Management; dbt; R; Looker; Power BI; Snowflake,1,2024-07-07,False,False,Active
JOB-0071,Associate Data Scientist,Auth0,Remote,Hybrid,,,dbt; Azure; Machine Learning; BigQuery; GCP,2,2024-10-05,False,False,Active
JOB-0072,Growth Analyst,Boeing,"Redmond, WA",Hybrid,,,dbt; Statistics; BigQuery; Power BI; Looker; GCP; Python,3,2024-09-08,True,False,Active
JOB-0073,Data Analyst,Microsoft,"Kirkland, WA",Hybrid,,,Tableau; Snowflake; R; dbt; GCP; Excel,2,2024-12-02,True,False,Active
JOB-0074,Product Analyst,Deloitte,"Kirkland, WA",On-site,,,GCP; Azure; Power BI; Statistics; Stakeholder Management; R,1,2024-06-28,True,True,Active
JOB-0075,Associate Data Scientist,Accenture,"Seattle, WA",On-site,90000,100000,Spark; Stakeholder Management; Python; AWS; Tableau,3,2024-06-28,True,False,Active
JOB-0076,Marketing Data Analyst,Highspot,"Kirkland, WA",Remote,115000,125000,Communication; Looker; Power BI,1,2023-09-01,False,False,Expired
JOB-0077,Product Data Analyst,Accenture,Remote,Remote,100000,120000,Communication; Power BI; AWS; Data Modeling; Stakeholder Management; Snowflake; A/B Testing,2,2024-11-15,True,False,Active
JOB-0078,Associate Product Analyst,Expedia,"Kirkland, WA",Remote,80000,95000,R; GCP; Power BI,2,2024-06-18,False,False,Active
JOB-0079,Associate Data Analyst,Amazon,"Seattle, WA",On-site,65000,85000,Excel; A/B Testing; SQL,1,2024-11-14,True,False,Active
JOB-0080,Marketing Analyst,Expedia,"Seattle, WA",Hybrid,100000,110000,Tableau; dbt; Machine Learning; Excel,2,2024-07-25,False,False,Active
JOB-0081,Finance Analyst,Convoy,Remote,Hybrid,115000,135000,Stakeholder Management; GCP; Looker; AWS; Data Modeling,0,2024-08-13,False,False,Active
JOB-0082,Data Analyst,PwC,"Redmond, WA",On-site,,,SQL; Communication; Looker; Snowflake; Power BI; GCP,1,2024-12-24,False,False,Active
JOB-0083,Business Intelligence Analyst,Costco,"Redmond, WA",On-site,72000,97000,GCP; Stakeholder Management; dbt,3,2024-12-14,False,False,Active
JOB-0084,Finance Analyst,Microsoft,"Redmond, WA",Remote,,,Tableau; Machine Learning; Power BI,0,2024-08-06,False,True,Active
JOB-0085,Jr. Data Engineer,Starbucks,"Bellevue, WA",Hybrid,100000,125000,Looker; GCP; BigQuery; Spark; Statistics; Azure,0,2024-09-14,False,False,Active
JOB-0086,BI Analyst,Remitly,"Bellevue, WA",Remote,72000,92000,SQL; Python; GCP; Power BI; Looker; Tableau,1,2024-11-23,False,False,Active
JOB-0087,BI Analyst,Outreach,"Redmond, WA",Remote,55000,75000,Excel; R; AWS; A/B Testing,2,2024-11-03,False,False,Active
JOB-0088,Data Analyst,Highspot,"Kirkland, WA",On-site,65000,90000,AWS; A/B Testing; Statistics; Looker,2,2024-10-05,False,False,Active
JOB-0089,Jr. Data Engineer,Microsoft,Remote,Remote,90000,115000,SQL; dbt; Python; Spark; A/B Testing; Excel,1,2024-09-20,True,False,Active
JOB-0090,BI Analyst,Providence Health,"Redmond, WA",Remote,,,Excel; BigQuery; Python; Communication; Stakeholder Management,3,2024-06-28,False,False,Active
JOB-0091,Marketing Analyst,Deloitte,Remote,Remote,72000,92000,SQL; A/B Testing; BigQuery; AWS; Looker; Python,2,2024-12-05,False,False,Active
JOB-0092,Financial Analyst,EY,"Redmond, WA",Remote,115000,140000,Communication; Data Modeling; R; Snowflake; SQL; Tableau; Azure,2,2024-08-28,False,False,Active
JOB-0093,FP&A Analyst,T-Mobile,"Redmond, WA",Hybrid,,,Azure; Snowflake; Excel,3,2024-09-22,False,False,Active
JOB-0094,Associate Data Engineer,Nordstrom,Remote,On-site,90000,110000,AWS; Statistics; GCP; Excel; SQL,0,2024-07-17,False,False,Active
JOB-0095,BI Analyst,Remitly,"Kirkland, WA",On-site,80000,105000,Statistics; Excel; Azure; Stakeholder Management; Communication; Looker,3,2024-07-13,False,False,Active
JOB-0096,Operations Analyst,Zillow,"Kirkland, WA",Hybrid,55000,80000,Snowflake; Stakeholder Management; Data Modeling,2,2024-08-13,False,False,Active
JOB-0097,Finance Analyst,Tableau,"Redmond, WA",On-site,80000,105000,R; Snowflake; Machine Learning; Looker,1,2024-07-11,False,False,Active
JOB-0098,Business Operations Analyst,Accenture,"Redmond, WA",On-site,55000,65000,Tableau; Data Modeling; Machine Learning; Looker; dbt; A/B Testing,2,2024-12-07,False,False,Active
JOB-0099,Jr. Data Engineer,Zillow,"Redmond, WA",Hybrid,100000,115000,Statistics; Excel; Stakeholder Management,3,2024-11-08,False,False,Active
JOB-0100,Ops Analyst,Tableau,Remote,Hybrid,72000,87000,Azure; Data Modeling; Machine Learning; R; Power BI,0,2024-09-17,False,False,Active
JOB-0101,Product Analyst,Remitly,"Bellevue, WA",Remote,65000,75000,Snowflake; BigQuery; R; Machine Learning,0,2024-10-15,False,False,Active
JOB-0102,Finance Analyst,McKinsey,"Kirkland, WA",On-site,55000,80000,Tableau; Excel; Python; AWS,2,2024-10-26,False,False,Active
JOB-0103,Jr. Data Scientist,PwC,"Kirkland, WA",Hybrid,72000,97000,SQL; Statistics; Snowflake; Communication,0,2024-06-03,False,False,Active
JOB-0104,Jr. Data Analyst,Deloitte,"Kirkland, WA",Hybrid,90000,110000,Statistics; SQL; Power BI; Excel,2,2024-10-08,False,False,Active
JOB-0105,Jr. Data Analyst,Boeing,"Seattle, WA",Hybrid,115000,135000,GCP; Looker; R; SQL; Statistics; AWS,1,2024-08-01,True,True,Active
JOB-0106,Associate Product Analyst,Providence Health,"Bellevue, WA",Remote,115000,140000,Communication; Data Modeling; dbt,1,2024-09-03,False,False,Active
JOB-0107,Business Intelligence Developer,T-Mobile,Remote,Hybrid,65000,85000,GCP; Excel; Snowflake; A/B Testing; Statistics; Azure,1,2024-08-01,False,False,Active
JOB-0108,Jr. Data Engineer,T-Mobile,"Kirkland, WA",Hybrid,,,Stakeholder Management; Spark; BigQuery; Looker; Excel; Statistics,2,2024-09-04,False,False,Active
JOB-0109,Data Scientist,McKinsey,"Bellevue, WA",Hybrid,55000,75000,GCP; Data Modeling; Spark,1,2024-08-16,False,False,Active
JOB-0110,Data Analyst,PwC,"Redmond, WA",Remote,72000,87000,R; Machine Learning; Power BI; SQL; Snowflake,3,2024-10-28,False,True,Active
JOB-0111,"Analyst, Data",Seattle Children's,"Seattle, WA",On-site,72000,92000,Stakeholder Management; Looker; R; Power BI; Python,1,2024-07-05,False,False,Active
JOB-0112,Marketing Data Analyst,Expedia,"Redmond, WA",On-site,,,Looker; dbt; Azure; SQL; Communication; Machine Learning,1,2024-08-19,False,False,Active
JOB-0113,Finance Analyst,EY,"Kirkland, WA",Hybrid,65000,90000,GCP; Azure; Spark; R,2,2024-11-19,False,False,Active
JOB-0114,Digital Marketing Analyst,Convoy,"Bellevue, WA",Hybrid,65000,75000,Data Modeling; Python; Machine Learning,2,2024-06-05,False,False,Active
JOB-0115,Business Intelligence Analyst,Auth0,"Seattle, WA",Remote,65000,75000,Spark; Data Modeling; Statistics; Tableau; Python; Excel,0,2024-10-12,False,False,Active
JOB-0116,Marketing Analyst,McKinsey,"Seattle, WA",Remote,72000,82000,BigQuery; Stakeholder Management; Machine Learning; Python; dbt; A/B Testing,3,2024-06-21,False,False,Active
JOB-0117,Associate Data Analyst,Amazon,"Bellevue, WA",On-site,,,Spark; Python; Power BI,1,2024-07-10,True,False,Active
JOB-0118,Analytics Engineer,Accenture,"Bellevue, WA",On-site,72000,97000,Azure; A/B Testing; Spark,1,2023-01-06,False,False,Expired
JOB-0119,Marketing Analyst,Outreach,"Kirkland, WA",Hybrid,65000,85000,GCP; A/B Testing; Excel,3,2024-11-10,False,False,Active
JOB-0120,Associate Data Scientist,EY,"Seattle, WA",Remote,115000,130000,Looker; dbt; Machine Learning; Python; Tableau,3,2024-07-15,False,False,Active
JOB-0121,"Analyst, Data",T-Mobile,"Bellevue, WA",On-site,65000,85000,Looker; dbt; Machine Learning; Azure,0,2024-07-24,False,False,Active
JOB-0122,BI Analyst,Starbucks,Remote,Remote,72000,92000,Stakeholder Management; Data Modeling; Tableau; Snowflake; Excel; Looker,3,2024-10-28,False,False,Active
JOB-0123,Finance Analyst,Boeing,Remote,Remote,80000,95000,R; Tableau; SQL; Communication; Stakeholder Management; Statistics; GCP,1,2024-12-27,False,False,Active
JOB-0124,Business Operations Analyst,Convoy,"Bellevue, WA",On-site,90000,110000,Snowflake; Python; Azure; Excel; Spark; Stakeholder Management; GCP,2,2024-09-06,False,False,Active
JOB-0125,Product Analyst,T-Mobile,"Seattle, WA",Hybrid,,,R; GCP; dbt; Excel; Stakeholder Management; Statistics,1,2024-11-04,False,False,Active
JOB-0126,Marketing Analyst,Costco,"Seattle, WA",Remote,,,Looker; Snowflake; SQL; Tableau; Communication; Excel; Power BI,2,2024-10-07,False,False,Active
JOB-0127,Marketing Analyst,Microsoft,"Kirkland, WA",Hybrid,100000,110000,Spark; Data Modeling; Azure; GCP; Tableau,3,2024-09-16,True,False,Active
JOB-0128,Associate Data Engineer,Accenture,"Bellevue, WA",On-site,100000,115000,Machine Learning; Stakeholder Management; A/B Testing; Python; Communication; Statistics; AWS,2,2023-10-22,True,False,Expired
JOB-0129,Business Intelligence Developer,IQVIA,Remote,Hybrid,80000,95000,Communication; AWS; Snowflake; Machine Learning; Azure; R,3,2024-07-10,False,False,Active
JOB-0130,FP&A Analyst,REI,"Seattle, WA",On-site,90000,115000,Communication; Spark; Machine Learning; SQL; Tableau; Snowflake; GCP,2,2024-11-16,False,False,Active
JOB-0131,Business Intelligence Developer,Accenture,Remote,Hybrid,,,Power BI; A/B Testing; Machine Learning; Tableau; Excel,0,2024-06-09,True,False,Active
JOB-0132,Associate Product Analyst,REI,"Seattle, WA",Remote,55000,70000,Azure; Tableau; R; dbt; Communication; Python,1,2024-12-22,False,False,Active
JOB-0133,Data Engineer,Accenture,Remote,On-site,,,A/B Testing; Statistics; Python,2,2024-08-04,False,False,Active
JOB-0134,Growth Analyst,Deloitte,"Kirkland, WA",On-site,,,Communication; dbt; Spark; Statistics; BigQuery,1,2024-11-27,True,False,Active
JOB-0135,Financial Analyst,EY,"Seattle, WA",Hybrid,72000,82000,Excel; Statistics; Machine Learning; A/B Testing; Looker; GCP; R,2,2024-08-01,False,False,Active
JOB-0136,Product Analyst,Starbucks,Remote,Hybrid,100000,125000,Data Modeling; AWS; Machine Learning; SQL; GCP; dbt; Statistics,1,2024-07-07,False,False,Active
JOB-0137,Growth Analyst,Convoy,"Bellevue, WA",On-site,55000,70000,Looker; Power BI; SQL; Statistics,2,2024-07-08,False,False,Active
JOB-0138,Data Analyst,Highspot,"Kirkland, WA",On-site,72000,97000,Excel; Stakeholder Management; Tableau; Power BI; Azure,3,2024-12-23,False,False,Active
JOB-0139,Business Intelligence Analyst,Nordstrom,Remote,Remote,,,Stakeholder Management; Spark; AWS,0,2024-12-28,False,False,Active
JOB-0140,Growth Analyst,REI,"Kirkland, WA",Hybrid,,,Stakeholder Management; Snowflake; Spark; Azure; Machine Learning; Power BI,1,2024-11-21,False,False,Active
JOB-0141,Associate Financial Analyst,T-Mobile,"Kirkland, WA",Remote,,,Data Modeling; Stakeholder Management; dbt,3,2024-10-01,False,False,Active
JOB-0142,Financial Analyst,Microsoft,"Bellevue, WA",On-site,,,Statistics; BigQuery; Tableau; Data Modeling; Machine Learning,2,2024-06-09,False,False,Active
JOB-0143,FP&A Analyst,Amazon,"Redmond, WA",On-site,115000,135000,Snowflake; Looker; Excel; AWS; Python; Data Modeling,1,2024-11-12,True,False,Active
JOB-0144,Associate Data Analyst,Convoy,"Redmond, WA",Hybrid,80000,90000,dbt; Communication; A/B Testing; Data Modeling; Azure; Python; SQL,1,2024-09-07,False,False,Active
JOB-0145,Financial Analyst,Amazon,"Redmond, WA",Hybrid,90000,100000,Looker; Azure; Spark; AWS; GCP; SQL,3,2024-12-20,True,False,Active
JOB-0146,"Analyst, Data",Zillow,"Redmond, WA",On-site,65000,80000,Snowflake; Communication; Power BI; Azure; Statistics; Stakeholder Management,1,2024-08-03,False,False,Active
JOB-0147,Financial Analyst,Remitly,"Kirkland, WA",On-site,,,GCP; A/B Testing; Power BI; R; Azure,3,2024-06-21,False,False,Active
JOB-0148,Marketing Analyst,Deloitte,"Bellevue, WA",On-site,72000,92000,AWS; Python; Spark; dbt,2,2024-06-09,True,False,Active
JOB-0149,Jr. Data Scientist,Accenture,Remote,Hybrid,,,AWS; dbt; Data Modeling; Stakeholder Management; Excel; BigQuery,2,2024-12-19,False,False,Active
JOB-0150,Operations Analyst,Nordstrom,Remote,Hybrid,100000,125000,Excel; BigQuery; Looker,3,2024-09-07,False,True,Active
JOB-0151,Digital Marketing Analyst,T-Mobile,Remote,Remote,55000,65000,AWS; Snowflake; Statistics; Tableau; A/B Testing,1,2024-08-20,False,False,Active
JOB-0152,Data Scientist I,PwC,Remote,On-site,72000,87000,Spark; Statistics; Communication; BigQuery; AWS; Snowflake,3,2024-07-05,True,False,Active
JOB-0153,Business Intelligence Developer,KPMG,Remote,Remote,100000,115000,Azure; Communication; Statistics; GCP; Excel; SQL; Tableau,3,2024-07-23,False,False,Active
JOB-0154,"Analyst, Data",Starbucks,"Bellevue, WA",On-site,72000,87000,Communication; SQL; Azure; R; GCP; Looker,2,2024-07-20,False,False,Active
JOB-0155,Data Scientist I,Zillow,"Redmond, WA",On-site,,,GCP; Tableau; Power BI; Excel; Azure; A/B Testing; R,3,2024-10-03,False,False,Active
JOB-0156,Marketing Data Analyst,KPMG,"Bellevue, WA",Hybrid,,,A/B Testing; Excel; Looker; AWS; Machine Learning; Tableau; Communication,1,2024-08-05,False,False,Active
JOB-0157,Data Scientist I,Highspot,Remote,On-site,100000,125000,Data Modeling; Communication; Snowflake; GCP; A/B Testing,1,2024-11-26,False,False,Active
JOB-0158,Associate Data Analyst,Outreach,"Kirkland, WA",On-site,,,Statistics; Data Modeling; AWS; dbt; Excel; Spark; Azure,2,2024-06-21,False,False,Active
JOB-0159,Business Intelligence Developer,IQVIA,"Kirkland, WA",On-site,80000,100000,Python; SQL; Data Modeling; Power BI; Machine Learning; dbt; Azure,0,2024-07-14,False,False,Active
JOB-0160,Financial Analyst,Costco,"Kirkland, WA",Hybrid,100000,115000,Snowflake; AWS; GCP; dbt; Python,1,2024-06-05,False,False,Active
JOB-0161,Associate Data Analyst,Seattle Children's,"Seattle, WA",On-site,90000,105000,Looker; Python; GCP; Tableau; Spark,1,2024-11-04,False,False,Active
JOB-0162,Associate Financial Analyst,PwC,"Bellevue, WA",On-site,100000,115000,Stakeholder Management; AWS; Tableau; Statistics,2,2024-09-04,False,False,Active
JOB-0163,Financial Analyst,REI,"Redmond, WA",Remote,,,dbt; GCP; Data Modeling; Statistics; Azure; Power BI,3,2024-10-15,False,False,Active
JOB-0164,Associate Financial Analyst,KPMG,"Seattle, WA",On-site,115000,130000,Data Modeling; dbt; Python; Looker; Communication; R; Azure,1,2024-10-08,False,False,Active
JOB-0165,Data Scientist,Convoy,"Seattle, WA",On-site,90000,115000,R; Power BI; BigQuery; A/B Testing,2,2024-11-01,False,False,Active
JOB-0166,Marketing Data Analyst,Expedia,"Seattle, WA",On-site,65000,80000,AWS; Communication; Looker; Tableau; GCP,3,2024-11-05,False,False,Active
JOB-0167,BI Developer,Remitly,"Redmond, WA",Hybrid,,,R; A/B Testing; SQL,1,2024-07-27,False,False,Active
JOB-0168,Growth Analyst,Costco,Remote,On-site,72000,87000,Stakeholder Management; Snowflake; Excel; Spark,1,2024-07-07,False,False,Active
JOB-0169,Associate Financial Analyst,Zillow,"Seattle, WA",Remote,80000,90000,GCP; Statistics; Machine Learning,3,2024-12-23,False,False,Active
JOB-0170,Data Engineer,Remitly,"Seattle, WA",On-site,72000,82000,Spark; Looker; Statistics,2,2024-09-01,False,False,Active
JOB-0171,Product Data Analyst,T-Mobile,"Kirkland, WA",On-site,,,Power BI; Looker; Excel; A/B Testing,3,2024-11-16,False,True,Active
JOB-0172,FP&A Analyst,Deloitte,"Bellevue, WA",Hybrid,65000,75000,Machine Learning; Snowflake; Python; SQL,1,2024-07-16,False,False,Active
JOB-0173,Business Intelligence Analyst,Highspot,"Redmond, WA",On-site,55000,80000,dbt; GCP; Python; Looker; Spark,2,2024-11-14,False,True,Active
JOB-0174,Business Intelligence Developer,McKinsey,"Kirkland, WA",Hybrid,80000,90000,Communication; Excel; Stakeholder Management; R; Spark; Snowflake,1,2023-09-10,False,False,Expired
