intern_id,company,role,duration_weeks,compensation,location,start_term,uw_partnership,application_deadline,openings
INT-045,McKinsey,Marketing Analytics Intern,12,$1400/week,"Bellevue, WA",Winter 2026,True,2025-02-11,3
INT-046,KPMG,Business Intelligence Intern,16,$800/week,Hybrid,Winter 2026,False,2025-02-02,4
INT-047,Nordstrom,Marketing Analytics Intern,16,Unpaid / Credit,"Bellevue, WA",Winter 2026,False,2025-02-06,8
INT-048,T-Mobile,Data Science Intern,14,$2000/week,Remote,Fall 2025,False,2025-02-24,1
INT-049,Remitly,Marketing Analytics Intern,12,$800/week,"Seattle, WA",Fall 2025,False,2025-03-25,3
INT-050,Highspot,Marketing Analytics Intern,14,$900/week,"Seattle, WA",Winter 2026,False,2025-02-20,4
INT-051,Auth0,Operations Analytics Intern,12,$1400/week,"Bellevue, WA",Winter 2026,False,2025-02-20,1
INT-052,IQVIA,Operations Analytics Intern,12,$800/week,"Seattle, WA",Spring 2026,False,2025-03-13,6
INT-053,PwC,Product Analytics Intern,16,$1600/week,"Bellevue, WA",Fall 2025,True,2025-02-03,7
INT-054,EY,Product Analytics Intern,12,$1600/week,"Bellevue, WA",Fall 2025,False,2025-02-24,1
INT-055,Amazon,Finance Analytics Intern,16,$2200/week,"Bellevue, WA",Winter 2026,True,2025-03-01,6
INT-056,Microsoft,Marketing Analytics Intern,10,$1400/week,Hybrid,Spring 2026,True,2025-03-12,7
INT-057,Boeing,Business Intelligence Intern,10,$1100/week,Remote,Winter 2026,True,2025-02-21,6
INT-058,Expedia,Product Analytics Intern,14,$1400/week,"Bellevue, WA",Summer 2025,False,2025-01-09,5
INT-059,Zillow,Marketing Analytics Intern,14,Unpaid / Credit,"Bellevue, WA",Summer 2025,False,2025-04-16,6
INT-060,Tableau,Marketing Analytics Intern,16,$1100/week,"Bellevue, WA",Fall 2025,False,2025-01-10,6
INT-061,Accenture,Data Science Intern,14,$1000/week,Remote,Spring 2026,True,2025-04-26,8
INT-062,Deloitte,Product Analytics Intern,14,$1200/week,Remote,Summer 2025,True,2025-02-04,2
INT-063,McKinsey,Data Analytics Intern,10,$1100/week,"Seattle, WA",Summer 2025,True,2025-02-11,3
INT-064,KPMG,Marketing Analytics Intern,14,$2000/week,Hybrid,Summer 2025,False,2025-02-11,2
INT-065,Nordstrom,Product Analytics Intern,10,$1000/week,"Seattle, WA",Spring 2026,False,2025-03-04,2
INT-066,T-Mobile,Finance Analytics Intern,10,$2200/week,"Seattle, WA",Summer 2025,False,2025-04-09,2
INT-067,Remitly,Product Analytics Intern,12,$1600/week,"Bellevue, WA",Fall 2025,False,2025-02-10,4
INT-068,Highspot,Product Analytics Intern,16,$2200/week,"Seattle, WA",Winter 2026,False,2025-02-04,7
INT-069,Auth0,Operations Analytics Intern,14,$800/week,Remote,Spring 2026,False,2025-01-13,2
INT-070,IQVIA,Marketing Analytics Intern,12,$1600/week,Remote,Fall 2025,False,2025-04-27,2
INT-071,PwC,Operations Analytics Intern,12,$800/week,"Seattle, WA",Winter 2026,True,2025-02-01,2
INT-072,EY,Data Science Intern,16,$900/week,Hybrid,Summer 2025,False,2025-04-16,3
INT-073,Amazon,Data Analytics Intern,12,$1000/week,Remote,Summer 2025,True,2025-01-17,4
INT-074,Microsoft,Product Analytics Intern,14,$900/week,"Bellevue, WA",Summer 2025,True,2025-02-28,6
INT-075,Boeing,Product Analytics Intern,16,$1100/week,Hybrid,Fall 2025,True,2025-02-08,1
INT-076,Expedia,Data Science Intern,10,$2200/week,Remote,Fall 2025,False,2025-02-04,4
INT-077,Zillow,Product Analytics Intern,10,$2000/week,Remote,Winter 2026,False,2025-03-03,1
INT-078,Tableau,Marketing Analytics Intern,10,$2000/week,Remote,Fall 2025,False,2025-03-28,6
INT-079,Accenture,Operations Analytics Intern,10,$1100/week,"Bellevue, WA",Summer 2025,True,2025-01-01,6
INT-080,Deloitte,Finance Analytics Intern,16,$2000/week,"Bellevue, WA",Spring 2026,True,2025-02-27,2
INT-081,McKinsey,Data Analytics Intern,14,Unpaid / Credit,Hybrid,Spring 2026,True,2025-03-22,2
INT-082,KPMG,Product Analytics Intern,10,$1400/week,"Seattle, WA",Summer 2025,False,2025-03-27,2
INT-083,Nordstrom,Data Analytics Intern,16,$1400/week,Hybrid,Summer 2025,False,2025-01-27,5
INT-084,T-Mobile,Product Analytics Intern,14,$1600/week,Remote,Fall 2025,False,2025-03-02,3
INT-085,Remitly,Operations Analytics Intern,14,$2000/week,Remote,Spring 2026,False,2025-01-20,3
INT-086,Highspot,Finance Analytics Intern,16,$2000/week,Remote,Summer 2025,False,2025-03-23,8
INT-087,Auth0,Product Analytics Intern,12,$1100/week,"Seattle, WA",Summer 2025,False,2025-02-26,4
INT-088,IQVIA,Strategy Analyst Intern,10,$900/week,Hybrid,Fall 2025,False,2025-01-15,2
INT-089,PwC,Product Analytics Intern,16,$1400/week,"Bellevue, WA",Fall 2025,True,2025-03-05,4
INT-090,EY,Strategy Analyst Intern,16,$800/week,"Bellevue, WA",Summer 2025,False,2025-03-10,1
INT-091,Amazon,Marketing Analytics Intern,16,$1200/week,Remote,Winter 2026,True,2025-02-17,1
INT-092,Microsoft,Business Intelligence Intern,14,$900/week,Hybrid,Spring 2026,True,2025-02-24,6
INT-093,Boeing,Business Intelligence Intern,12,$2200/week,Hybrid,Fall 2025,True,2025-02-18,1
INT-094,Expedia,Data Analytics Intern,14,$2000/week,Hybrid,Spring 2026,False,2025-01-08,1
INT-095,Zillow,Data Analytics Intern,10,$900/week,"Seattle, WA",Spring 2026,False,2025-02-28,2
INT-096,Tableau,Data Science Intern,14,$1200/week,"Seattle, WA",Winter 2026,False,2025-03-22,3
INT-097,Accenture,Operations Analytics Intern,14,Unpaid / Credit,"Bellevue, WA",Summer 2025,True,2025-02-24,5
INT-098,Deloitte,Operations Analytics Intern,12,$1600/week,Hybrid,Summer 2025,True,2025-03-22,4
INT-099,McKinsey,Business Intelligence Intern,16,$2000/week,"Seattle, WA",Spring 2026,True,2025-02-12,3
INT-100,KPMG,Marketing Analytics Intern,16,$1100/week,Remote,Summer 2025,False,2025-04-11,5
