sale_id,date,shop_name,category,item,quantity,unit_price,total,payment_method
TXN-00022,07/01/2024,HUB Coffee,Smoothie,Smoothie Item 2,1,6.5,6.5,Card
TXN-00023,2024-07-01,HUB Coffee,Pastry,Pastry Item 4,1,3.5,3.5,Card
TXN-00024,2024-07-01,HUB Coffee,Tea,Tea Item 1,3,3.25,9.75,Card
TXN-00025,2024-07-01,HUB Coffee,Sandwich,Sandwich Item 3,2,8.75,17.5,Card
TXN-00026,2024-07-01,HUB Coffee,Tea,Tea Item 3,1,3.25,3.25,Card
TXN-00027,2024-07-01,HUB Coffee,Smoothie,Smoothie Item 3,1,6.5,6.5,Card
TXN-00028,2024-07-01,HUB Coffee,Pastry,Pastry Item 2,1,3.5,3.5,Card
TXN-00029,2024-07-01,HUB Coffee,Smoothie,Smoothie Item 5,2,6.5,13.0,Mobile
TXN-00030,2024-07-01,HUB Coffee,Cold Brew,Cold Brew Item 3,1,5.25,5.25,Cash
TXN-00031,2024-07-01,HUB Coffee,Espresso,Espresso Item 1,1,4.75,4.75,Card
TXN-00032,2024-07-01,ode-cafe,Smoothie,Smoothie Item 2,1,6.5,6.5,Cash
TXN-00033,2024-07-01,ode-cafe,Sandwich,Sandwich Item 3,1,8.75,8.75,Card
TXN-00034,2024-07-01,ode-cafe,Smoothie,Smoothie Item 5,1,6.5,6.5,Cash
TXN-00035,2024-07-01,ode-cafe,Sandwich,Sandwich Item 3,1,8.75,8.75,Card
TXN-00036,2024-07-01,ode-cafe,Pastry,Pastry Item 1,1,3.5,3.5,Mobile
TXN-00037,2024-07-01,ode-cafe,Espresso,Espresso Item 2,1,4.75,4.75,Card
TXN-00038,07/01/2024,ode-cafe,Espresso,Espresso Item 1,2,4.75,9.5,Card
TXN-00039,2024-07-01,ode-cafe,Smoothie,Smoothie Item 3,1,6.5,6.5,Card
TXN-00040,2024-07-01,ode-cafe,Drip Coffee,Drip Coffee Item 5,1,2.5,2.5,Card
TXN-00041,2024-07-01,ode-cafe,Cold Brew,Cold Brew Item 4,1,5.25,5.25,Cash
TXN-00042,2024-07-01,ode-cafe,Espresso,Espresso Item 4,1,4.75,4.75,Card
TXN-00043,07/01/2024,ode-cafe,Cold Brew,Cold Brew Item 1,2,5.25,10.5,Card
TXN-00044,2024-07-01,ode-cafe,Cold Brew,Cold Brew Item 1,2,5.25,10.5,Cash
TXN-00045,2024-07-01,ode-cafe,Drip Coffee,Drip Coffee Item 4,1,2.5,2.5,Cash
TXN-00046,2024-07-01,ode-cafe,Tea,Tea Item 1,1,3.25,3.25,Card
TXN-00047,2024-07-01,ode-cafe,Smoothie,Smoothie Item 1,2,6.5,13.0,Card
TXN-00048,07/01/2024,ode-cafe,Smoothie,Smoothie Item 2,1,6.5,6.5,Cash
TXN-00049,2024-07-01,ode-cafe,Cold Brew,Cold Brew Item 4,1,5.25,5.25,Card
TXN-00050,2024-07-01,ode-cafe,Drip Coffee,Drip Coffee Item 3,1,2.5,2.5,Card
TXN-00051,2024-07-01,ode-cafe,Tea,Tea Item 5,1,3.25,3.25,Card
TXN-00052,2024-07-01,ode-cafe,Drip Coffee,Drip Coffee Item 1,1,2.5,2.5,Card
TXN-00053,2024-07-01,ode-cafe,Sandwich,Sandwich Item 1,1,8.75,8.75,Card
TXN-00054,2024-07-01,ode-cafe,Pastry,Pastry Item 5,1,3.5,3.5,Cash
TXN-00055,07/01/2024,ode-cafe,Espresso,Espresso Item 2,3,4.75,14.25,Card
TXN-00056,2024-07-01,ode-cafe,Pastry,Pastry Item 4,1,3.5,3.5,Card
TXN-00057,2024-07-01,ode-cafe,Pastry,Pastry Item 5,1,3.5,3.5,Card
TXN-00058,2024-07-01,ode-cafe,Cold Brew,Cold Brew Item 3,1,5.25,5.25,Mobile
TXN-00059,2024-07-01,ode-cafe,Drip Coffee,Drip Coffee Item 3,1,2.5,2.5,Card
TXN-00060,2024-07-01,ode-cafe,Drip Coffee,Drip Coffee Item 3,1,2.5,2.5,Card
TXN-00061,2024-07-01,ode-cafe,Espresso,Espresso Item 1,1,4.75,4.75,Card
TXN-00062,2024-07-01,ode-cafe,Pastry,Pastry Item 3,1,3.5,3.5,Card
TXN-00063,2024-07-01,ode-cafe,Drip Coffee,Drip Coffee Item 5,1,2.5,2.5,Mobile
TXN-00064,2024-07-01,ode-cafe,Pastry,Pastry Item 5,3,3.5,10.5,Card
TXN-00065,2024-07-01,ode-cafe,Sandwich,Sandwich Item 1,2,8.75,17.5,Cash
TXN-00066,07/01/2024,ode-cafe,Tea,Tea Item 5,1,3.25,3.25,Cash
TXN-00067,2024-07-01,ode-cafe,Tea,Tea Item 3,1,3.25,3.25,Cash
TXN-00068,2024-07-01,ode-cafe,Sandwich,Sandwich Item 4,1,8.75,8.75,Mobile
TXN-00069,2024-07-01,ode-cafe,Smoothie,Smoothie Item 3,1,6.5,6.5,Card
TXN-00070,07/01/2024,ode-cafe,Espresso,Espresso Item 3,1,4.75,4.75,Cash
TXN-00071,2024-07-01,ode-cafe,Sandwich,Sandwich Item 5,1,8.75,8.75,Card
TXN-00072,2024-07-01,ode-cafe,Espresso,Espresso Item 2,1,4.75,4.75,Card
TXN-00073,2024-07-01,ode-cafe,Espresso,Espresso Item 2,2,4.75,9.5,Card
TXN-00074,2024-07-01,ode-cafe,Drip Coffee,Drip Coffee Item 1,1,2.5,2.5,Mobile
TXN-00075,2024-07-01,ode-cafe,Drip Coffee,Drip Coffee Item 3,1,2.5,2.5,Card
TXN-00076,2024-07-01,ode-cafe,Smoothie,Smoothie Item 2,1,6.5,6.5,Cash
TXN-00077,2024-07-01,ode-cafe,Smoothie,Smoothie Item 2,1,6.5,6.5,Card
TXN-00078,2024-07-01,ode-cafe,Espresso,Espresso Item 4,1,4.75,4.75,Cash
TXN-00079,2024-07-01,ode-cafe,Tea,Tea Item 4,1,3.25,3.25,Card
TXN-00080,2024-07-01,ode-cafe,Smoothie,Smoothie Item 4,1,6.5,6.5,Mobile
TXN-00081,2024-07-01,ode-cafe,Tea,Tea Item 2,2,3.25,6.5,Card
TXN-00082,2024-07-01,ode-cafe,Sandwich,Sandwich Item 1,1,8.75,8.75,Mobile
TXN-00083,2024-07-01,ode-cafe,Tea,Tea Item 5,1,3.25,3.25,Mobile
TXN-00084,2024-07-01,ode-cafe,Espresso,Espresso Item 2,1,4.75,4.75,Card
TXN-00085,2024-07-01,ode-cafe,Tea,Tea Item 3,1,3.25,3.25,Mobile
TXN-00086,2024-07-01,ode-cafe,Cold Brew,Cold Brew Item 4,1,5.25,5.25,Card
TXN-00087,2024-07-01,ode-cafe,Drip Coffee,Drip Coffee Item 1,1,2.5,2.5,Card
TXN-00088,2024-07-01,ode-cafe,Smoothie,Smoothie Item 2,1,6.5,6.5,Mobile
TXN-00089,2024-07-01,ode-cafe,Cold Brew,Cold Brew Item 3,1,5.25,5.25,Card
TXN-00090,07/01/2024,ode-cafe,Tea,Tea Item 3,1,3.25,3.25,Card
TXN-00091,2024-07-01,ode-cafe,Tea,Tea Item 3,1,3.25,3.25,Card
TXN-00092,2024-07-01,ode-cafe,Drip Coffee,Drip Coffee Item 4,1,2.5,2.5,Cash
TXN-00093,2024-07-01,suzzallo-roasters,Tea,Tea Item 3,1,3.25,3.25,Mobile
TXN-00094,2024-07-01,suzzallo-roasters,Drip Coffee,Drip Coffee Item 3,1,2.5,2.5,Card
TXN-00095,2024-07-01,suzzallo-roasters,Cold Brew,Cold Brew Item 4,1,5.25,5.25,Cash
TXN-00096,2024-07-01,suzzallo-roasters,Sandwich,Sandwich Item 5,1,8.75,8.75,Mobile
TXN-00097,2024-07-01,suzzallo-roasters,Espresso,Espresso Item 3,2,4.75,9.5,Cash
TXN-00098,07/01/2024,suzzallo-roasters,Smoothie,Smoothie Item 2,1,6.5,6.5,Card
TXN-00099,07/01/2024,suzzallo-roasters,Pastry,Pastry Item 4,2,3.5,7.0,Card
TXN-00100,2024-07-01,suzzallo-roasters,Drip Coffee,Drip Coffee Item 4,2,2.5,5.0,Cash
TXN-00101,07/01/2024,suzzallo-roasters,Drip Coffee,Drip Coffee Item 1,1,2.5,2.5,Card
TXN-00102,2024-07-01,suzzallo-roasters,Drip Coffee,Drip Coffee Item 5,1,2.5,2.5,Card
TXN-00103,2024-07-01,suzzallo-roasters,Espresso,Espresso Item 1,1,4.75,4.75,Card
TXN-00104,2024-07-01,suzzallo-roasters,Drip Coffee,Drip Coffee Item 5,2,2.5,5.0,Card
TXN-00105,2024-07-01,suzzallo-roasters,Tea,Tea Item 5,3,3.25,9.75,Card
TXN-00106,2024-07-01,suzzallo-roasters,Cold Brew,Cold Brew Item 2,2,5.25,10.5,Card
TXN-00107,2024-07-01,suzzallo-roasters,Cold Brew,Cold Brew Item 3,1,5.25,5.25,Card
TXN-00108,2024-07-01,suzzallo-roasters,Cold Brew,Cold Brew Item 1,1,5.25,5.25,Mobile
TXN-00109,2024-07-01,suzzallo-roasters,Drip Coffee,Drip Coffee Item 5,1,2.5,2.5,Card
TXN-00110,2024-07-01,suzzallo-roasters,Drip Coffee,Drip Coffee Item 2,1,2.5,2.5,Cash
TXN-00111,2024-07-01,suzzallo-roasters,Espresso,Espresso Item 4,1,4.75,4.75,Card
TXN-00112,2024-07-01,suzzallo-roasters,Espresso,Espresso Item 5,1,4.75,4.75,Card
TXN-00113,2024-07-01,suzzallo-roasters,Smoothie,Smoothie Item 4,2,6.5,13.0,Card
TXN-00114,2024-07-01,suzzallo-roasters,Tea,Tea Item 4,1,3.25,3.25,Card
TXN-00115,2024-07-01,suzzallo-roasters,Sandwich,Sandwich Item 2,2,8.75,17.5,Card
TXN-00116,2024-07-01,suzzallo-roasters,Drip Coffee,Drip Coffee Item 4,1,2.5,2.5,Mobile
TXN-00117,2024-07-01,suzzallo-roasters,Sandwich,Sandwich Item 2,1,8.75,8.75,Card
TXN-00118,2024-07-01,suzzallo-roasters,Drip Coffee,Drip Coffee Item 4,3,2.5,7.5,Card
TXN-00119,07/01/2024,suzzallo-roasters,Pastry,Pastry Item 4,1,3.5,3.5,Cash
TXN-00120,07/01/2024,suzzallo-roasters,Smoothie,Smoothie Item 4,1,6.5,6.5,Mobile
TXN-00121,2024-07-01,suzzallo-roasters,Drip Coffee,Drip Coffee Item 4,1,2.5,2.5,Mobile
TXN-00122,2024-07-01,suzzallo-roasters,Smoothie,Smoothie Item 1,3,6.5,19.5,Card
TXN-00123,07/01/2024,suzzallo-roasters,Espresso,Espresso Item 3,2,4.75,9.5,Cash
TXN-00124,2024-07-01,suzzallo-roasters,Sandwich,Sandwich Item 1,1,8.75,8.75,Card
TXN-00125,2024-07-01,UW Medical Brew,Smoothie,Smoothie Item 2,1,6.5,6.5,Card
TXN-00126,2024-07-01,UW Medical Brew,Sandwich,Sandwich Item 4,1,8.75,8.75,Mobile
TXN-00127,2024-07-01,UW Medical Brew,Smoothie,Smoothie Item 1,1,6.5,6.5,Cash
TXN-00128,07/01/2024,UW Medical Brew,Tea,Tea Item 3,1,3.25,3.25,Card
TXN-00129,2024-07-01,UW Medical Brew,Sandwich,Sandwich Item 2,2,8.75,17.5,Card
TXN-00130,2024-07-01,UW Medical Brew,Pastry,Pastry Item 1,1,3.5,3.5,Mobile
TXN-00131,2024-07-01,UW Medical Brew,Smoothie,Smoothie Item 5,1,6.5,6.5,Card
TXN-00132,2024-07-01,UW Medical Brew,Tea,Tea Item 1,1,3.25,3.25,Card
TXN-00133,2024-07-01,UW Medical Brew,Sandwich,Sandwich Item 4,1,8.75,8.75,Card
TXN-00134,2024-07-01,UW Medical Brew,Cold Brew,Cold Brew Item 4,3,5.25,15.75,Cash
TXN-00135,2024-07-01,UW Medical Brew,Cold Brew,Cold Brew Item 3,1,5.25,5.25,Card
TXN-00136,2024-07-01,UW Medical Brew,Smoothie,Smoothie Item 4,2,6.5,13.0,Card
TXN-00137,2024-07-01,UW Medical Brew,Smoothie,Smoothie Item 2,2,6.5,13.0,Card
TXN-00138,2024-07-01,UW Medical Brew,Tea,Tea Item 4,2,3.25,6.5,Card
TXN-00139,2024-07-01,UW Medical Brew,Pastry,Pastry Item 4,1,3.5,3.5,Mobile
TXN-00140,2024-07-01,UW Medical Brew,Drip Coffee,Drip Coffee Item 3,1,2.5,2.5,Mobile
TXN-00141,2024-07-01,UW Medical Brew,Tea,Tea Item 3,2,3.25,6.5,Card
TXN-00142,2024-07-01,UW Medical Brew,Espresso,Espresso Item 2,1,4.75,4.75,Card
TXN-00143,2024-07-01,UW Medical Brew,Cold Brew,Cold Brew Item 4,1,5.25,5.25,Card
TXN-00144,07/01/2024,UW Medical Brew,Cold Brew,Cold Brew Item 2,2,5.25,10.5,Card
TXN-00145,2024-07-01,UW Medical Brew,Sandwich,Sandwich Item 3,1,8.75,8.75,Card
TXN-00146,2024-07-01,UW Medical Brew,Pastry,Pastry Item 5,1,3.5,3.5,Mobile
TXN-00147,2024-07-01,UW Medical Brew,Tea,Tea Item 3,2,3.25,6.5,Cash
TXN-00148,2024-07-01,UW Medical Brew,Espresso,Espresso Item 5,2,4.75,9.5,Cash
TXN-00149,2024-07-01,UW Medical Brew,Drip Coffee,Drip Coffee Item 5,1,2.5,2.5,Card
TXN-00150,07/01/2024,UW Medical Brew,Pastry,Pastry Item 2,1,3.5,3.5,Mobile
TXN-00151,2024-07-01,UW Medical Brew,Drip Coffee,Drip Coffee Item 5,1,2.5,2.5,Cash
TXN-00152,07/01/2024,UW Medical Brew,Tea,Tea Item 3,1,3.25,3.25,Cash
TXN-00153,2024-07-01,UW Medical Brew,Sandwich,Sandwich Item 1,2,8.75,17.5,Card
TXN-00154,2024-07-01,UW Medical Brew,Tea,Tea Item 2,1,3.25,3.25,Card
TXN-00155,2024-07-01,UW Medical Brew,Tea,Tea Item 1,2,3.25,6.5,Card
TXN-00156,2024-07-01,UW Medical Brew,Cold Brew,Cold Brew Item 1,1,5.25,5.25,Cash
TXN-00157,2024-07-01,UW Medical Brew,Drip Coffee,Drip Coffee Item 1,2,2.5,5.0,Cash
TXN-00158,2024-07-01,UW Medical Brew,Espresso,Espresso Item 5,1,4.75,4.75,Card
TXN-00159,2024-07-01,UW Medical Brew,Drip Coffee,Drip Coffee Item 4,2,2.5,5.0,Mobile
TXN-00160,2024-07-01,UW Medical Brew,Smoothie,Smoothie Item 5,1,6.5,6.5,Card
TXN-00161,2024-07-01,UW Medical Brew,Espresso,Espresso Item 2,1,4.75,4.75,Cash
TXN-00162,2024-07-01,UW Medical Brew,Tea,Tea Item 2,1,3.25,3.25,Card
TXN-00163,2024-07-01,UW Medical Brew,Espresso,Espresso Item 5,1,4.75,4.75,Card
TXN-00164,2024-07-01,UW Medical Brew,Tea,Tea Item 3,1,3.25,3.25,Card
TXN-00165,2024-07-01,UW Medical Brew,Espresso,Espresso Item 5,1,4.75,4.75,Cash
TXN-00166,2024-07-01,UW Medical Brew,Cold Brew,Cold Brew Item 2,1,5.25,5.25,Mobile
TXN-00167,2024-07-01,Portage Bay Espresso,Espresso,Espresso Item 5,1,4.75,4.75,Mobile
TXN-00168,2024-07-01,Portage Bay Espresso,Cold Brew,Cold Brew Item 4,1,5.25,5.25,Mobile
TXN-00169,2024-07-01,Portage Bay Espresso,Pastry,Pastry Item 5,1,3.5,3.5,Card
TXN-00170,2024-07-01,Portage Bay Espresso,Cold Brew,Cold Brew Item 1,2,5.25,10.5,Card
TXN-00171,2024-07-01,Portage Bay Espresso,Drip Coffee,Drip Coffee Item 5,3,2.5,7.5,Card
TXN-00172,2024-07-01,Portage Bay Espresso,Espresso,Espresso Item 3,3,4.75,14.25,Card
TXN-00173,2024-07-01,Portage Bay Espresso,Espresso,Espresso Item 5,2,4.75,9.5,Card
TXN-00174,2024-07-01,Portage Bay Espresso,Tea,Tea Item 4,1,3.25,3.25,Card
TXN-00175,2024-07-01,Portage Bay Espresso,Cold Brew,Cold Brew Item 1,1,5.25,5.25,Cash
TXN-00176,2024-07-01,Portage Bay Espresso,Tea,Tea Item 4,1,3.25,3.25,Card
TXN-00177,2024-07-01,Portage Bay Espresso,Espresso,Espresso Item 3,1,4.75,4.75,Card
TXN-00178,2024-07-01,Portage Bay Espresso,Smoothie,Smoothie Item 1,1,6.5,6.5,Card
TXN-00179,2024-07-01,Portage Bay Espresso,Cold Brew,Cold Brew Item 3,1,5.25,5.25,Card
TXN-00180,2024-07-01,Portage Bay Espresso,Smoothie,Smoothie Item 1,1,6.5,6.5,Cash
TXN-00181,2024-07-01,Portage Bay Espresso,Tea,Tea Item 4,1,3.25,3.25,Card
TXN-00182,2024-07-01,Portage Bay Espresso,Espresso,Espresso Item 2,1,4.75,4.75,Cash
TXN-00183,2024-07-01,Portage Bay Espresso,Tea,Tea Item 1,1,3.25,3.25,Cash
TXN-00184,2024-07-01,Portage Bay Espresso,Smoothie,Smoothie Item 1,2,6.5,13.0,Cash
TXN-00185,2024-07-01,Portage Bay Espresso,Cold Brew,Cold Brew Item 3,2,5.25,10.5,Card
TXN-00186,2024-07-01,Portage Bay Espresso,Smoothie,Smoothie Item 4,1,6.5,6.5,Card
TXN-00187,2024-07-01,Portage Bay Espresso,Drip Coffee,Drip Coffee Item 5,1,2.5,2.5,Cash
TXN-00188,2024-07-01,Portage Bay Espresso,Smoothie,Smoothie Item 4,1,6.5,6.5,Mobile
TXN-00189,2024-07-01,Portage Bay Espresso,Smoothie,Smoothie Item 3,1,6.5,6.5,Mobile
TXN-00190,2024-07-01,Portage Bay Espresso,Smoothie,Smoothie Item 4,1,6.5,6.5,Cash
TXN-00191,2024-07-01,Portage Bay Espresso,Cold Brew,Cold Brew Item 5,1,5.25,5.25,Card
TXN-00192,2024-07-01,Portage Bay Espresso,Cold Brew,Cold Brew Item 2,1,5.25,5.25,Cash
TXN-00193,2024-07-01,Portage Bay Espresso,Pastry,Pastry Item 4,1,3.5,3.5,Card
TXN-00194,2024-07-01,Portage Bay Espresso,Tea,Tea Item 4,2,3.25,6.5,Card
TXN-00195,2024-07-01,Portage Bay Espresso,Sandwich,Sandwich Item 2,2,8.75,17.5,Card
TXN-00196,2024-07-01,Portage Bay Espresso,Espresso,Espresso Item 3,1,4.75,4.75,Card
TXN-00197,07/01/2024,Portage Bay Espresso,Smoothie,Smoothie Item 4,2,6.5,13.0,Card
TXN-00198,2024-07-01,Portage Bay Espresso,Sandwich,Sandwich Item 2,1,8.75,8.75,Card
TXN-00199,2024-07-01,Portage Bay Espresso,Cold Brew,Cold Brew Item 5,2,5.25,10.5,Card
TXN-00200,2024-07-01,Portage Bay Espresso,Sandwich,Sandwich Item 5,1,8.75,8.75,Card
TXN-00201,2024-07-02,hub-coffee,Sandwich,Sandwich Item 5,2,8.75,17.5,Card
TXN-00202,2024-07-02,hub-coffee,Pastry,Pastry Item 3,1,3.5,3.5,Cash
TXN-00203,2024-07-02,hub-coffee,Sandwich,Sandwich Item 1,1,8.75,8.75,Card
TXN-00204,2024-07-02,hub-coffee,Drip Coffee,Drip Coffee Item 1,1,2.5,2.5,Mobile
TXN-00205,2024-07-02,hub-coffee,Smoothie,Smoothie Item 4,1,6.5,6.5,Cash
TXN-00206,2024-07-02,hub-coffee,Drip Coffee,Drip Coffee Item 2,1,2.5,2.5,Cash
TXN-00207,2024-07-02,hub-coffee,Drip Coffee,Drip Coffee Item 5,1,2.5,2.5,Cash
TXN-00208,07/02/2024,hub-coffee,Cold Brew,Cold Brew Item 4,2,5.25,10.5,Mobile
TXN-00209,07/02/2024,hub-coffee,Cold Brew,Cold Brew Item 4,1,5.25,5.25,Mobile
TXN-00210,07/02/2024,hub-coffee,Sandwich,Sandwich Item 3,1,8.75,8.75,Card
TXN-00211,2024-07-02,hub-coffee,Tea,Tea Item 3,1,3.25,3.25,Card
TXN-00212,2024-07-02,hub-coffee,Smoothie,Smoothie Item 4,1,6.5,6.5,Card
TXN-00213,2024-07-02,hub-coffee,Drip Coffee,Drip Coffee Item 3,1,2.5,2.5,Mobile
TXN-00214,2024-07-02,hub-coffee,Espresso,Espresso Item 3,3,4.75,14.25,Card
TXN-00215,2024-07-02,hub-coffee,Pastry,Pastry Item 1,2,3.5,7.0,Card
TXN-00216,2024-07-02,hub-coffee,Sandwich,Sandwich Item 3,1,8.75,8.75,Cash
TXN-00217,2024-07-02,hub-coffee,Pastry,Pastry Item 2,2,3.5,7.0,Card
TXN-00218,2024-07-02,hub-coffee,Tea,Tea Item 2,1,3.25,3.25,Card
TXN-00219,2024-07-02,hub-coffee,Sandwich,Sandwich Item 4,1,8.75,8.75,Card
TXN-00220,07/02/2024,hub-coffee,Pastry,Pastry Item 3,1,3.5,3.5,Mobile
TXN-00221,2024-07-02,hub-coffee,Sandwich,Sandwich Item 5,1,8.75,8.75,Mobile
TXN-00222,2024-07-02,hub-coffee,Pastry,Pastry Item 2,1,3.5,3.5,Mobile
TXN-00223,2024-07-02,hub-coffee,Smoothie,Smoothie Item 3,2,6.5,13.0,Mobile
TXN-00224,2024-07-02,hub-coffee,Smoothie,Smoothie Item 2,1,6.5,6.5,Cash
TXN-00225,2024-07-02,hub-coffee,Smoothie,Smoothie Item 4,1,6.5,6.5,Card
TXN-00226,2024-07-02,hub-coffee,Tea,Tea Item 3,1,3.25,3.25,Card
TXN-00227,2024-07-02,hub-coffee,Espresso,Espresso Item 3,1,4.75,4.75,Card
TXN-00228,2024-07-02,hub-coffee,Cold Brew,Cold Brew Item 1,2,5.25,10.5,Cash
TXN-00229,2024-07-02,hub-coffee,Cold Brew,Cold Brew Item 5,1,5.25,5.25,Mobile
TXN-00230,07/02/2024,hub-coffee,Pastry,Pastry Item 4,1,3.5,3.5,Mobile
TXN-00231,07/02/2024,hub-coffee,Sandwich,Sandwich Item 1,1,8.75,8.75,Mobile
TXN-00232,2024-07-02,hub-coffee,Cold Brew,Cold Brew Item 5,1,5.25,5.25,Cash
TXN-00233,2024-07-02,hub-coffee,Cold Brew,Cold Brew Item 5,1,5.25,5.25,Card
TXN-00234,2024-07-02,hub-coffee,Pastry,Pastry Item 4,2,3.5,7.0,Card
TXN-00235,2024-07-02,hub-coffee,Smoothie,Smoothie Item 3,1,6.5,6.5,Card
TXN-00236,2024-07-02,hub-coffee,Sandwich,Sandwich Item 2,1,8.75,8.75,Mobile
TXN-00237,2024-07-02,hub-coffee,Espresso,Espresso Item 3,3,4.75,14.25,Card
TXN-00238,2024-07-02,hub-coffee,Cold Brew,Cold Brew Item 4,1,5.25,5.25,Card
TXN-00239,2024-07-02,hub-coffee,Sandwich,Sandwich Item 1,1,8.75,8.75,Card
TXN-00240,2024-07-02,hub-coffee,Smoothie,Smoothie Item 5,1,6.5,6.5,Cash
TXN-00241,2024-07-02,hub-coffee,Espresso,Espresso Item 5,2,4.75,9.5,Cash
TXN-00242,2024-07-02,hub-coffee,Smoothie,Smoothie Item 2,2,6.5,13.0,Card
TXN-00243,2024-07-02,hub-coffee,Espresso,Espresso Item 2,1,4.75,4.75,Card
TXN-00244,07/02/2024,hub-coffee,Tea,Tea Item 1,2,3.25,6.5,Cash
TXN-00245,2024-07-02,hub-coffee,Espresso,Espresso Item 5,1,4.75,4.75,Mobile
TXN-00246,07/02/2024,hub-coffee,Espresso,Espresso Item 4,1,4.75,4.75,Card
TXN-00247,2024-07-02,hub-coffee,Espresso,Espresso Item 3,2,4.75,9.5,Card
TXN-00248,2024-07-02,hub-coffee,Pastry,Pastry Item 5,1,3.5,3.5,Card
TXN-00249,2024-07-02,hub-coffee,Sandwich,Sandwich Item 5,2,8.75,17.5,Mobile
TXN-00250,07/02/2024,hub-coffee,Cold Brew,Cold Brew Item 4,1,5.25,5.25,Card
TXN-00251,2024-07-02,hub-coffee,Cold Brew,Cold Brew Item 4,1,5.25,5.25,Card
TXN-00252,07/02/2024,hub-coffee,Espresso,Espresso Item 2,1,4.75,4.75,Mobile
TXN-00253,2024-07-02,hub-coffee,Pastry,Pastry Item 3,1,3.5,3.5,Card
TXN-00254,2024-07-02,hub-coffee,Pastry,Pastry Item 5,1,3.5,3.5,Card
TXN-00255,07/02/2024,hub-coffee,Espresso,Espresso Item 5,2,4.75,9.5,Cash
TXN-00256,2024-07-02,hub-coffee,Cold Brew,Cold Brew Item 3,1,5.25,5.25,Card
TXN-00257,07/02/2024,hub-coffee,Cold Brew,Cold Brew Item 4,1,5.25,5.25,Mobile
TXN-00258,2024-07-02,hub-coffee,Sandwich,Sandwich Item 4,1,8.75,8.75,Card
TXN-00259,07/02/2024,hub-coffee,Espresso,Espresso Item 1,2,4.75,9.5,Mobile
TXN-00260,07/02/2024,hub-coffee,Smoothie,Smoothie Item 5,1,6.5,6.5,Card
TXN-00261,2024-07-02,hub-coffee,Tea,Tea Item 4,1,3.25,3.25,Card
TXN-00262,2024-07-02,hub-coffee,Tea,Tea Item 5,1,3.25,3.25,Card
TXN-00263,2024-07-02,hub-coffee,Drip Coffee,Drip Coffee Item 1,1,2.5,2.5,Mobile
TXN-00264,07/02/2024,hub-coffee,Smoothie,Smoothie Item 3,1,6.5,6.5,Card
TXN-00265,2024-07-02,hub-coffee,Drip Coffee,Drip Coffee Item 5,2,2.5,5.0,Card
TXN-00266,07/02/2024,hub-coffee,Sandwich,Sandwich Item 3,1,8.75,8.75,Card
TXN-00267,2024-07-02,hub-coffee,Drip Coffee,Drip Coffee Item 3,1,2.5,2.5,Mobile
TXN-00268,07/02/2024,hub-coffee,Espresso,Espresso Item 4,1,4.75,4.75,Card
TXN-00269,2024-07-02,hub-coffee,Drip Coffee,Drip Coffee Item 1,2,2.5,5.0,Card
